Rank: 0, players: 0
Rank: 1, players: 0
Rank: 2, players: 0
Rank: 3, players: 0
Rank: 4, players: 0
Rank: 5, players: 0
Rank: 6, players: 0
Rank: 7, players: 0
Rank: 8, players: 0
Rank: 9, players: 0
Rank: 10, players: 0
Rank: 11, players: 0
Rank: 12, players: 0
Rank: 13, players: 0
Rank: 14, players: 4
Rank: 15, players: 29
Rank: 16, players: 56
Rank: 17, players: 126
Rank: 18, players: 294
Rank: 19, players: 506
Rank: 20, players: 1315
Rank: 21, players: 192
Rank: 22, players: 68
Rank: 23, players: 9
Rank: 24, players: 1
Rank: 25, players: 0
